feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X2.amino.3.carboxymuconate.semialdehyde.degradation.to.2.hydroxypentadienoate	Altitude_group	Low	0.00559662324781098	0.00203435532715632	9	9	0.0284606420261465	0.329055741200852
X2.aminophenol.degradation	Altitude_group	Low	0.00543291048878486	0.00173094326419879	9	9	0.0164089757856383	0.329055741200852
Ergothioneine.Biosynthesis	Altitude_group	Low	0.00531226799175353	0.00189969392715785	9	9	0.0266625801417826	0.329055741200852
Fermentation.to.Acetate	Altitude_group	Low	0.00328983419362052	0.00122553571802107	9	9	0.0313386420191288	0.329055741200852
Formaldehyde.Assimilation	Altitude_group	Low	-0.00629798774151935	0.0020330725021745	9	9	0.0173765814248064	0.329055741200852
Nitroaromatic.Compound.Degradation	Altitude_group	Low	0.00548550121252259	0.00193448512707068	9	9	0.0252016298295463	0.329055741200852
Phosphorus.Compound.Metabolism	Altitude_group	Low	0.00564221832243208	0.0020854715261708	9	9	0.0303967215659246	0.329055741200852
coenzyme.B.biosynthesis	Altitude_group	Low	-0.00966536063274434	0.00319006371753911	9	9	0.0191190980155607	0.329055741200852
ectoine.biosynthesis	Altitude_group	Low	0.00681546477389025	0.00226264730535313	9	9	0.019602098196109	0.329055741200852
ethylmalonyl.CoA.pathway	Altitude_group	Low	0.00564756236147616	0.00169307074502119	9	9	0.0124932008762076	0.329055741200852
glycolysis.II..from.fructose.6.phosphate.	Altitude_group	Low	-0.00291145831902593	0.00107498637472523	9	9	0.0302703857105187	0.329055741200852
photorespiration	Altitude_group	Low	-0.00505150495251491	0.00186018405113657	9	9	0.0299557479087035	0.329055741200852
superpathway.of.glycolysis.and.the.Entner.Doudoroff.pathway	Altitude_group	Low	-0.00219866456489215	0.000787480473243034	9	9	0.0268301140405207	0.329055741200852
tRNA.processing	Altitude_group	Low	-0.00432158802097783	0.00137178985748972	9	9	0.0161446743148901	0.329055741200852
X4.Aminobutanoate.Degradation	Altitude_group	Low	0.00634599291521667	0.00267869803595223	9	9	0.0496749387281176	0.475534842201281
Sugar.Degradation	Altitude_group	Low	-0.0127852265819327	0.00547996687799284	9	9	0.0523754802757797	0.475534842201281
octane.oxidation	Altitude_group	Low	-0.0102850871645655	0.00454852047914946	9	9	0.0582287561879119	0.475534842201281
