# Constructed from biom file
#OTU ID	SRR15093004	SRR15093005	SRR15093006	SRR15093007	SRR15093008	SRR15093009	SRR15093010	SRR15093011	SRR15093012	SRR15093013	SRR15093014
1CMET2-PWY	27881.40935488851	22268.727880124054	26164.32083716024	24969.271785349174	16354.021090316328	22653.43390821014	24089.9762461741	29488.38872861077	24762.036084940202	19077.085229577347	61950.77804146729
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1208.5433891563682	939.530787112542	906.1206517200371	1266.4090641981652	496.34197614135206	770.37514025336	327.65468616463835	669.224373274558	516.7954324294434	4154.34568789611	2052.1050608190053
AEROBACTINSYN-PWY	0.0	0.0	0.0	28.064331511770103	0.0	42.957100332691304	0.0	0.0	13.153846153846155	11.134109341513637	43.1391411357696
ALL-CHORISMATE-PWY	6550.049632441469	4348.204912373208	6108.552823904165	5667.983987428827	4396.798503488028	4649.669819652446	5740.097749961411	7099.965673482899	5906.613396453536	4979.930071372	7121.732596487626
ANAEROFRUCAT-PWY	27306.905627270196	21050.382955662728	23766.481710727167	21155.888634016177	20672.253612446948	21198.925193657793	23793.97786442651	31681.73753980214	22373.655437397316	18316.63110570622	45223.40432364576
ANAGLYCOLYSIS-PWY	42102.297453129184	31547.66577702495	38217.35572852755	27730.45780359432	30220.314687237766	34443.89842722736	37630.86542468079	47271.57300293196	36517.03689019711	23452.349361295688	56828.034126278384
ARG+POLYAMINE-SYN	10242.54152235052	6873.019911806696	10146.300276915272	10858.288813010598	9107.106623750657	7437.6489071037195	10668.15359100162	12404.5243222652	7128.670857082998	11069.358270606006	23068.487948691127
ARGDEG-PWY	0.0	0.0	18.023446458428122	1322.5841288741103	0.0	30.733476112519803	0.0	25.070211034188507	0.0	301.7160241048784	709.2822989286791
ARGORNPROST-PWY	4082.9939137147	4808.639057159494	2279.9526871259613	3643.8951467861425	1403.2284856142555	1596.1300067352754	3894.935207233394	3004.7456572600677	2959.982711203938	5623.322341656374	2796.5451789200815
ARGSYN-PWY	38960.64333867931	29483.023609955548	35270.101300143826	22075.785498185494	27393.808759942887	31707.22318006602	32343.246628871966	42193.21141085211	33960.75718726686	22496.521633814406	53958.645332085165
ARGSYNBSUB-PWY	40550.70923693835	31249.20349283703	36568.83700078922	22602.667666170648	30085.31515983019	32716.654960671327	35396.91579607739	44517.5178216876	36192.80405845258	23297.05634188516	54883.24047953237
ARO-PWY	42207.59909538001	32199.602491170634	38486.22839941648	25406.146253836945	29929.544166209667	34631.72145758088	36587.05092324425	46376.28986323959	37280.078816417576	24230.835496334592	56646.291571107016
ASPASN-PWY	10212.409167041884	7788.631385272743	8454.529944723176	4710.101001835573	5832.481978731682	9189.206083364334	8446.974234157748	10863.885923871629	8713.682435368204	11401.786884008838	9383.468848229744
AST-PWY	222.64798180153377	568.3571488929595	337.9543254063353	7001.325510968014	77.63335554684254	330.0523734152765	0.0	193.72333835967905	155.0658252113549	6281.199901945768	4269.298724087133
BENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.766418581350427	0.0	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	18026.008993068925	14341.105930213602	18963.046539756837	18060.514563858	11105.202569748595	14635.936064849257	15871.806369023569	20452.245891155886	15454.471397352201	16123.776762158033	40040.878847451764
BRANCHED-CHAIN-AA-SYN-PWY	59688.49657084684	46543.726408171846	54268.37025024508	35443.68056210089	42030.551420275304	47686.153568086775	49112.91867657152	63235.81880468461	53227.753757863895	34203.27106849115	81518.62972607293
CALVIN-PWY	41903.64883029272	31777.08598790378	37702.754554293024	27964.57911209973	30005.651703131487	33409.14630313864	35765.09409060503	45425.44534518423	35783.80020713575	24534.58675902986	61646.648328498355
CATECHOL-ORTHO-CLEAVAGE-PWY	1290.7479026923093	1988.3973182703799	1575.651605381665	7474.256980912722	658.1351665209006	1475.8522495761656	875.8369098444405	1423.4002606007066	1002.4245984670463	6872.848585466013	8588.83885002965
CENTBENZCOA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	65.29984894259819	50.61057692307692	0.0	0.0	0.0
CENTFERM-PWY	139.8231873397532	24.141638355221506	242.95351733092153	181.79773235570292	199.66727727327248	122.29649144379601	4567.882200157398	1394.0977995387636	231.50798240749964	67.62153172783913	795.2922385421779
CHLOROPHYLL-SYN	34.35365003240469	33.74049031448316	190.50789883371448	1205.074433346495	0.0	309.9180624571313	84.01139805918032	700.89914152882	132.5089362608528	450.6533174774898	12308.967155235252
COA-PWY	39486.82253396874	30152.099349442495	36341.74271420447	25613.72718012588	27762.473965145706	32800.03670030834	34563.94572107732	43196.5243959999	35480.528651772875	21817.593138166394	53526.15537461283
COBALSYN-PWY	12974.903138864333	11633.312620438584	12271.932812014504	12012.657809951685	9199.409446866603	9164.680614169814	9363.30682075057	12104.15348882598	11777.711352298578	13576.086109280084	21693.122608268743
CODH-PWY	1664.3195620292167	776.7745744344921	1916.3003703247468	94.08676805799485	2747.569959220771	568.9578059371199	5300.2599264311075	3152.164243522157	1460.9968485317322	387.86155732058637	424.7236266992086
COLANSYN-PWY	35284.275614394806	26648.959015036027	31536.524018550746	19704.535732082717	23505.988622327295	28702.285779338214	30947.967690692956	38399.45127625667	30552.692610825798	18792.750054518863	43831.904892559
COMPLETE-ARO-PWY	44608.34797063475	33943.66847404625	40702.24575201769	26987.25399392845	31749.509027569573	36583.682322319575	38800.98276113302	49086.77372561487	39386.85402555771	25668.23695002646	60042.59896236152
CRNFORCAT-PWY	0.0	113.56381757254603	18.499824165549004	689.1983729878731	0.0	69.34859609826768	0.0	5.999071648580446	11.006408716005721	1101.8266374426871	86.82911078086745
DAPLYSINESYN-PWY	38554.84732980484	29339.84291333961	34293.23852311352	26196.33886826616	25490.168868339555	31089.247029744536	31359.65495577416	41102.75762984383	32727.206518518626	23008.24853758646	60959.80095468446
DENITRIFICATION-PWY	748.0438278428267	582.5604315128674	1553.6540845093	1823.5463608025623	505.21999243696933	923.5795540110803	991.9081116789725	945.4537351627041	880.9804152720245	3408.5048906301004	1781.2056496506204
DENOVOPURINE2-PWY	18487.070433227953	17137.15598411942	15031.849874810325	11222.800079745823	12179.360178772902	18576.652616719035	19886.85543794468	21772.622825420247	21621.700946603618	16283.990875368154	16991.772222306186
DHGLUCONATE-PYR-CAT-PWY	0.0	94.15682160850254	132.4786908303918	4795.585921795491	64.10745322501828	329.7389525084455	0.0	59.5508809739382	9.161080138244955	5064.455853917376	5303.46467163799
DTDPRHAMSYN-PWY	41673.92346898142	30344.2821684131	36938.82219521958	33676.18974922895	29254.921954413756	33675.28692203344	37587.65133234156	46249.568788066565	35799.8051958574	24560.488659613824	60979.73599046697
ECASYN-PWY	0.0	1.4347199970669215	9.338557744692539	665.8149368643766	0.0	14.893389075624096	0.0	17.023024260690004	0.0	348.1374105733121	280.1420429638993
ENTBACSYN-PWY	2354.9797699763953	1330.6986286618098	2060.060751963188	1259.9994160516908	3074.83777407445	1485.666053871402	1666.6787412031135	1905.438052396792	2994.025866702765	1235.3276013602674	4082.0853650178833
FAO-PWY	39708.76413896169	30432.090348050646	35062.11842946484	33586.54769384711	27000.534244189843	29100.367233752422	26612.913542341463	39675.3985238632	30487.066325929103	29976.00217646804	73958.62272048749
FASYN-ELONG-PWY	60108.1003758187	47357.96825719855	55879.90228642364	37487.04283815373	38746.72160204819	48931.93446715011	46541.032371789275	62197.78060513684	53305.33483175451	35287.713982917194	85021.91839271276
FASYN-INITIAL-PWY	23916.27401049892	19353.86816908873	24804.567852328764	19011.96695085056	12263.05909846692	19741.916221809384	15835.974258669588	23167.445669148758	20488.420641370823	24711.81596751696	46926.29134229542
FERMENTATION-PWY	15247.760071491666	13433.292616419321	13196.409386437954	22388.80484307435	7168.445614799829	14456.043690565102	12020.62091158397	18321.687339301454	11201.055365332168	16784.243025137966	41641.9315649416
FOLSYN-PWY	24777.20640250687	19177.37345603478	24649.827611832596	23660.01546757384	16190.410100545649	20441.838761414125	22849.02812236969	28647.919877987548	21211.918675684974	19466.11234349302	55508.80979443006
FUC-RHAMCAT-PWY	0.0	55.84019710670824	0.0	82.79705139776782	0.0	0.0	23.385906528043897	89.750578123828	0.0	34.90530237357847	525.2809834756636
FUCCAT-PWY	423.0513024003964	176.7843436439381	311.09590931614696	635.7297134423668	175.62822112106474	320.3780576534104	594.7484492013664	639.5542677898788	207.05943256866135	457.09700748279187	3377.2569145942225
GALACT-GLUCUROCAT-PWY	4936.1945680177	3579.91101034897	4608.392316372644	8184.020418009878	1728.2694454392552	3889.9412508972514	2377.049482533872	5030.051674747678	3465.6961459472714	5643.340404718857	16006.215847370406
GALACTARDEG-PWY	2505.5827771338854	2028.1427860202307	2094.0058432889728	1691.6299909897457	1328.110511845342	2003.4987126615897	2357.5094791405227	2970.3575051660564	1372.2269590979322	3255.115282860477	2377.5726276833025
GALACTUROCAT-PWY	11584.112165877874	8979.89842667153	11378.90927236211	11163.19057424541	4796.940780485833	8902.999292514853	6524.692963453835	10420.449611393173	8764.363883787719	8385.797196264786	22036.984603089582
GALLATE-DEGRADATION-I-PWY	666.2193675282623	313.5754043629536	722.8768699562797	4569.102294364443	22.62051341667641	355.5994167366433	68.96399918494872	215.9969005492528	188.88075263494153	1018.6059011851382	22342.6007570104
GALLATE-DEGRADATION-II-PWY	204.20952095801067	720.4955977977178	343.92472673423447	4569.102294364443	15.72222891166187	134.67243084207644	51.26805330676298	80.52027933788263	67.28081106441742	1025.570629716162	20467.897701032125
GLCMANNANAUT-PWY	1424.6543236728721	1107.1245653288345	1155.0862535847953	1165.4235306641926	274.70822066814395	1581.5467159279222	568.6533572832461	1973.7465503613328	1009.2413556446337	1334.7788130553206	1980.296343601967
GLUCARDEG-PWY	3236.423482771974	2705.267824868493	2274.689628720994	1743.3095256429783	1900.8820876677203	2305.7729120619406	3020.012345372846	3653.157744622023	1873.5027336106043	3406.138451774672	2430.002983474284
GLUCARGALACTSUPER-PWY	2505.5827771338854	2028.1427860202307	2094.0058432889728	1691.6299909897457	1328.110511845342	2003.4987126615897	2357.5094791405227	2970.3575051660564	1372.2269590979322	3255.115282860477	2377.5726276833025
GLUCONEO-PWY	32438.928075821826	25245.73216015879	30581.643685416067	25166.07247255555	22807.781179233592	25708.529914228504	27453.999225175743	35824.29323848695	27942.41767093657	22226.724947397768	57063.814929709726
GLUCOSE1PMETAB-PWY	3849.375049733822	2005.4546327364837	3563.106189357562	10993.601471875501	1927.0410932920581	3875.7754602610153	5453.173883034134	7430.461446376232	2187.2004227543757	10168.103954562199	14167.143035428053
GLUCUROCAT-PWY	9877.295183315446	6553.399795688045	7989.922386623513	9361.381689616164	4696.115323372664	9293.42611363055	6824.654071506131	9806.241381431557	7104.661395583706	6734.905234293661	16660.16176676025
